Name,RAM,Internal storage,Display,Rear Camera,Front Camera,Battery,Processor,Price
"Samsung Galaxy F41 (Fusion Black, 64 GB)",6 GB RAM , 64 GB ROM ,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 5MP , 32MP Front Camera,6000 mAh Lithium-ion Battery,Exynos 9611 Processor,"₹14,999"
"Infinix Smart 4 (Ocean Wave, 32 GB)",2 GB RAM , 32 GB ROM,17.32 cm (6.82 inch) HD+ Display,13MP + Depth Sensor , 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek Helio A22 Processor,"₹6,999"
"Infinix Smart 4 (Violet, 32 GB)",2 GB RAM , 32 GB ROM,17.32 cm (6.82 inch) HD+ Display,13MP + Depth Sensor , 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek Helio A22 Processor,"₹6,999"
"Infinix Smart 4 (Quetzal Cyan, 32 GB)",2 GB RAM , 32 GB ROM,17.32 cm (6.82 inch) HD+ Display,13MP + Depth Sensor , 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek Helio A22 Processor,"₹6,999"
"Realme Narzo 20 Pro (White Knight, 128 GB)",8 GB RAM , 128 GB ROM ,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,4500 mAh Lithium-ion Battery,MediaTek Helio G95 Processor,"₹15,999"
"Samsung Galaxy F41 (Fusion Green, 64 GB)",6 GB RAM , 64 GB ROM ,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 5MP , 32MP Front Camera,6000 mAh Lithium-ion Battery,Exynos 9611 Processor,"₹14,999"
"OPPO A5s (Green, 64 GB)",4 GB RAM , 64 GB ROM ,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP , 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 Processor,"₹12,990"
"Samsung Galaxy F41 (Fusion Black, 128 GB)",6 GB RAM , 128 GB ROM ,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 5MP , 32MP Front Camera,6000 mAh Lithium-ion Battery,Exynos 9611 Processor,"₹15,999"
"OPPO Reno2 F (Lake Green, 256 GB)",6 GB RAM , 256 GB ROM,16.51 cm (6.5 inch) Display,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,4000 mAh Battery,MediaTek Helio P70 Processor,"₹15,990"
"Redmi 8A Dual (Sky White, 32 GB)",2 GB RAM , 32 GB ROM ,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP , 8MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 439 Processor,"₹6,999"
"OPPO A12 (Black, 32 GB)",3 GB RAM , 32 GB ROM ,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP , 5MP Front Camera,4230 mAh Battery,MediaTek Helio P35 Processor,"₹7,990"
"Infinix Hot 10 (Obsidian Black, 128 GB)",6 GB RAM , 128 GB ROM ,17.22 cm (6.78 inch) HD+ Display,16MP + 2MP + 2MP + Low Light Sensor , 8MP Front Camera,5200 mAh Li-ion Polymer Battery,MediaTek Helio G70 Processor,"₹10,999"
"OPPO A5s (Black, 32 GB)",2 GB RAM , 32 GB ROM ,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP , 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 Processor,"₹7,990"
"Samsung Galaxy F41 (Fusion Green, 128 GB)",6 GB RAM , 128 GB ROM ,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 5MP , 32MP Front Camera,6000 mAh Lithium-ion Battery,Exynos 9611 Processor,"₹15,999"
"Realme Narzo 20 Pro (White Knight, 64 GB)",6 GB RAM , 64 GB ROM ,16.51 cm (6.5 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP , 16MP Front Camera,4500 mAh Lithium-ion Battery,MediaTek Helio G95 Processor,"₹13,999"
"Realme 7 (Mist Blue, 128 GB)",8 GB RAM , 128 GB ROM ,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G95 Processor,"₹16,999"
"Realme 7 Pro (Mirror Blue, 128 GB)",8 GB RAM , 128 GB ROM ,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP , 32MP Front Camera,4500 mAh Lithium-ion Battery,Qualcomm Snapdragon 720G Processor,"₹21,999"
"OPPO A12 (Black, 64 GB)",4 GB RAM , 64 GB ROM ,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP , 5MP Front Camera,4230 mAh Battery,MediaTek Helio P35 Processor,"₹11,490"
"Gionee Max (Royal Blue, 32 GB)",2 GB RAM , 32 GB ROM ,15.49 cm (6.1 inch) HD+ Display,13MP + Digital Camera , 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Octa Core Processor,"₹5,499"
"POCO X3 (Shadow Gray, 64 GB)",6 GB RAM , 64 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,64MP + 13MP + 2MP + 2MP , 20MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 732G Processor,"₹14,999"
"Tecno Spark Power 2 Air (Ice Jadeite, 32 GB)",3 GB RAM , 32 GB ROM ,17.78 cm (7 inch) HD+ Display,13MP + 2MP + 2MP + AI Lens Quad AI Camera , 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery,MediaTek Helio A22 Quad Core Processor,"₹7,999"
"POCO M2 Pro (Out of the Blue, 128 GB)",6 GB RAM , 128 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 720G Processor,"₹14,999"
"POCO X2 (Matrix Purple, 128 GB)",6 GB RAM , 128 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP , 20MP + 2MP Dual Front Camera,4500 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 730G Processor,"₹15,999"
