,Name,RAM,Internal storage,Display,Rear Camera,Front Camera,Battery,Processor,Price
168,Infinix Hot 9 Pro (Ocean Wave),4 GB , 64 GB ,16.76 ,48 MP + 2 MP + 2 MP + Low Light Sensor , 8,5000 ,MediaTek Helio P22 (64 bit) Processor," 10,499"
169,Infinix Hot 9 Pro (Quetzal Cyan),4 GB , 64 GB ,16.76 ,48 MP + 2 MP + 2 MP + Low Light Sensor , 8,5000 ,MediaTek Helio P22 (64 bit) Processor," 10,499"
170,Realme C15 Qualcomm Edition (Power Silver),3 GB , 32 GB ,16.56 ,13MP + 8MP + 2MP + 2MP , 8,6000 ,Qualcomm Snapdragon 460 Processor," 9,999"
171,Realme C15 Qualcomm Edition (Power Blue),3 GB , 32 GB ,16.56 ,13MP + 8MP + 2MP + 2MP , 8,6000 ,Qualcomm Snapdragon 460 Processor," 9,999"
172,Redmi Note 9 Pro (Interstellar Black),4 GB , 64 GB ,16.94 ,48MP + 8MP + 5MP + 2MP , 16,5020 ,Qualcomm® Snapdragon™ 720G Processor," 13,419"
173,Redmi Note 9 Pro (Champagne Gold),4 GB , 128 GB ,16.94 ,48MP + 8MP + 5MP + 2MP , 16,5020 ,Qualcomm® Snapdragon™ 720G Processor," 14,979"
174,Redmi 9 Power (Blazing Blue),4 GB , 64 GB ,16.59 ,48MP Rear Camera , 8,6000 ,QualcommÂ® Snapdragonâ¢ 662 Processor," 11,878"
175,OPPO A33 (Mint Cream),3 GB , 32 GB ,16.51 ,13MP + 2MP + 2MP , 8,5000 ,Qualcomm Snapdragon 460 Processor," 10,990"
176,Vivo Y91i (Fusion Black),3 GB , 32 GB ,15.8 ,13MP Rear Camera , 5,4030 ,MediaTek Helio P22 Processor," 8,490"
177,Realme 6 Pro (Lightning Orange),6 GB , 64 GB ,16.76 ,64MP + 12MP + 8MP + 2MP , 16,4300 ,Snapdragon 720G Processor," 15,999"
178,Realme 6i (Lunar White),4 GB , 64 GB ,16.51 ,48MP + 8MP + 2MP + 2MP , 16,4300 ,MediaTek Helio G90T Processor," 12,999"
179,Tecno POVA (Speed Purple),6 GB , 128 GB ,17.27 ,16MP + 2MP + 2MP + AI Lens Quad Camera , 8,6000 ,MediaTek Helio G80 Processor," 11,999"
180,Vivo Y91i (Fusion Black),3 GB , 32 GB ,15.8 ,13MP Rear Camera , 5,4030 ,MediaTek Helio P22 Processor," 8,490"
181,Realme 6 Pro (Lightning Orange),6 GB , 64 GB ,16.76 ,64MP + 12MP + 8MP + 2MP , 16,4300 ,Snapdragon 720G Processor," 15,999"
182,OPPO F17 Pro (Metallic White),8 GB , 128 GB ,16.33 ,48MP + 8MP + 2MP + 2MP , 16,4015 ,MediaTek Helio P95 Processor," 21,490"
183,Tecno Spark Power 2 (Misty Grey),4 GB , 64 GB ,17.78 ,16 MP + 5 MP + 2 MP + AI Lens , 16,6000 ,MediaTek Helio P22 Octa Core Processor," 9,999"
184,Redmi 9 Prime (Sunrise Flare),4 GB , 128 GB ,16.59 ,13MP Rear Camera , 8,5020 ,MediaTek Helio G80 Processor," 11,792"
185,Lava Z66 (Midnight Blue),3 GB , 32 GB ,15.44 ,13MP + 5MP , 13,3950 ,Octa Core Processor," 7,999"
186,OPPO A53 (Electric Black),4 GB , 64 GB ,16.51 ,13MP + 2MP + 2MP , 16,5000 ,Qualcomm Snapdragon 460 Processor," 12,990"
187,OPPO A53 (Fancy Blue),6 GB , 128 GB ,16.51 ,13MP + 2MP + 2MP , 16,5000 ,Qualcomm Snapdragon 460 Processor," 15,490"
188,OPPO A53 (Fairy White),6 GB , 128 GB ,16.51 ,13MP + 2MP + 2MP , 16,5000 ,Qualcomm Snapdragon 460 Processor," 15,490"
189,Nokia 216/216 DS),16 MB , NA ,6.1 ,0.3MP Rear Camera , 0.3,1020 ,0 0 0 0 Processor Processor," 2,799"
190,Vivo V19 (Mystic Silver),8 GB , 256 GB ,16.36 ,48MP + 8MP + 2MP + 2MP , 32,4500 ,Qualcomm Snapdragon 712 AIE Processor," 27,990"
191,Vivo V20 Pro (Midnight Jazz),8 GB , 128 GB ,16.36 ,64MP + 8MP + 2MP , 44,4000 ,Qualcomm Snapdragon 765G Processor," 29,990"
192,Vivo V20 SE (Gravity Black),8 GB , 128 GB ,16.36 ,48MP + 8MP + 2MP , 32,4100 ,Qualcomm Snapdragon 665 Processor," 20,990"
193,Realme X3 (Arctic White),8 GB , 128 GB ,16.69 ,64MP + 12MP + 8MP + 2MP , 16,4200 ,Qualcomm Snapdragon 855+ Processor," 22,999"
194,Redmi 8A (Ocean Blue),3 GB , 32 GB ,15.8 ,12MP Rear Camera , 8,5000 ,Qualcomm Snapdragon 439 Processor," 8,449"
195,Vivo V20 SE (Aquamarine Green),8 GB , 128 GB ,16.36 ,48MP + 8MP + 2MP , 32,4100 ,Qualcomm Snapdragon 665 Processor," 20,990"
196,Samsung M01 core (Black),2 GB , 32 GB ,13.46 ,8MP Rear Camera , 5,3000 ,MediaTek | MT6739WW quad core  Processor," 6,180"
197,Redmi 9 (Sky Blue),4 GB , 128 GB ,16.59 ,13MP + 8MP , 8,5000 ,MediaTek Helio G35 Processor," 10,397"
198,Redmi 9 (Sky Blue),4 GB , 64 GB ,16.59 ,13MP + 2MP , 5,5000 ,MediaTek Helio G35 Processor," 9,869"
199,Redmi Note 9 Pro Max (Glacier White),6 GB , 128 GB ,16.94 ,64MP + 8MP + 5MP + 2MP , 32,5020 ,Qualcomm Snapdragon 720G Processor," 18,799"
200,Redmi Note 8 (Neptune Blue),4 GB , 64 GB ,16.0 ,48MP + 8MP + 2MP + 2MP , 13,4000 ,Qualcomm Snapdragon 665 Processor," 12,999"
201,Realme C3 (Frozen Blue),3 GB , 32 GB ,16.56 ,12MP + 2MP , 5,5000 ,Helio G70 Processor," 8,999"
202,iQOO 3 (5G) (Tornado Black),12 GB , 256 GB ,16.36 ,48MP + 13MP + 13MP + 2MP , 16,4440 ,Qualcomm Snapdragon 865 Processor," 34,990"
203,Tecno Camon 16 (Cloud White),4 GB , 64 GB ,17.27 ,64MP + 2MP + 2MP + AI Lens Quad AI Camera , 16,5000 ,MediaTek Helio G70 Processor," 11,499"
204,Redmi 9A (Sea Blue),3 GB , 32 GB ,16.59 ,13MP Rear Camera , 5,5000 ,MediaTek Helio G25 Processor," 8,299"
205,Redmi 9A (Midnight Black),3 GB , 32 GB ,16.59 ,13MP Rear Camera , 5,5000 ,MediaTek Helio G25 Processor," 8,179"
206,Tecno Camon 15 (SHOAL GOLD),4 GB , 64 GB ,16.64 ,48MP + 2MP + 2MP + QVGA Rear Camera , 16,5000 ,Helio P22 MT6762 Processor," 9,999"
207,Samsung M01 core (Blue),2 GB , 32 GB ,13.46 ,8MP Rear Camera , 5,3000 ,MediaTek | MT6739WW quad core  Processor," 6,299"
208,Infinix Zero 8i (Black Diamond),8 GB , 128 GB ,17.4 ,48MP + 8MP + 2MP + AI Lens Camera , 16,4500 ,MediaTek Helio G90T Processor," 14,999"
209,Realme C3 (Volcano Grey),3 GB , 32 GB ,16.56 ,12MP + 2MP , 5,5000 ,Helio G70 Processor," 8,999"
210,Samsung Galaxy M11 (Violet),3 GB , 32 GB ,16.26 ,13MP + 5MP + 2MP , 8,5000 ,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor," 10,390"
211,Honor 9S (Blue),2 GB , 32 GB ,13.84 ,8MP Rear Camera , 5,3020 ,MediaTek Helio P22 (MT6762R) Octa Core Processor," 5,999"
212,Redmi Note 9 Pro (Aurora Blue),6 GB , 128 GB ,16.94 ,48MP + 8MP + 5MP + 2MP , 16,5020 ,Qualcomm® Snapdragon™ 720G Processor," 19,499"
213,OPPO Reno2 (Luminous Black),8 GB , 256 GB ,16.51 ,48MP + 8MP + 13MP + 2MP , 16,4000 ,Qualcomm Snapdragon 730G Processor," 38,990"
